Wines,Fruits,Meat,Fish,Sweet,Gold,ID
635,88,546,172,88,88,5524
11,1,6,2,1,6,2174
426,49,127,111,21,42,4141
11,4,20,10,3,5,6182
173,43,118,46,27,15,5324
520,42,98,0,42,14,7446
235,65,164,50,49,27,965
76,10,56,3,1,23,6177
14,0,24,3,3,2,4855
28,0,6,1,1,13,5899
5,5,6,0,2,1,1994
6,16,11,11,1,16,387
194,61,480,225,112,30,2125
233,2,53,3,5,14,8180
3,14,17,6,1,5,2569
1006,22,115,59,68,45,2114
53,5,19,2,13,4,9736
84,5,38,150,12,28,4939
1012,80,498,0,16,176,6565
4,17,19,30,24,39,2278
86,2,73,69,38,48,9360
1,1,1725,1,1,1,5376
867,0,86,0,0,19,1993
384,0,102,21,32,5,4047
270,3,27,39,6,99,1409
6,4,25,15,12,13,7892
173,4,30,3,6,41,2404
5,1,3,3,263,362,5255
36,2,42,20,21,10,9422
684,100,801,21,66,0,1966
8,4,10,2,2,4,6864
112,17,44,34,22,89,3033
110,0,5,2,0,3,5710
96,12,96,33,22,43,7373
482,34,471,119,68,22,8755
40,0,19,2,1,3,10738
702,17,151,0,8,35,4339
6,3,14,15,7,36,10755
55,0,6,2,0,4,8595
437,8,206,160,49,42,2968
421,76,536,82,178,102,8601
13,1,29,3,0,7,503
9,0,6,3,1,3,8430
81,11,50,3,2,39,7281
3,1,10,3,2,12,2139
123,164,266,227,30,174,1371
3,18,14,15,22,50,9909
13,6,15,3,5,13,7286
48,5,48,6,10,7,7244
826,50,317,50,38,38,6566
245,19,125,37,67,14,8614
650,37,780,27,167,32,4114
12,6,20,30,1,3,1331
510,120,550,156,40,241,2225
328,9,124,12,24,109,9381
984,51,432,180,120,190,6260
295,35,482,121,120,40,10383
13,0,8,2,1,5,7437
11,3,22,2,2,6,8557
447,0,28,0,0,43,8375
712,26,538,69,13,80,6853
452,18,102,16,18,6,3076
523,7,134,37,14,169,1012
546,0,48,0,6,6,6518
398,40,367,119,122,30,4137
1,3,6,3,6,15,8082
10,0,1,0,0,0,1386
688,14,309,201,24,38,9369
247,49,159,7,82,109,4477
856,59,487,58,29,73,1357
496,36,460,189,60,12,1402
25,3,43,17,4,17,10629
258,107,291,84,37,86,6312
565,6,65,0,6,19,8132
14,10,13,4,15,9,1050
2,1,6,2,1,1,5846
721,111,925,97,18,18,1859
1032,105,779,137,105,51,7503
1,0,5,0,3,9,10401
577,0,64,0,0,51,1618
64,4,68,7,5,17,3332
4,1,5,2,0,4,2261
25,5,19,7,0,23,5346
112,17,44,34,22,89,4119
163,23,424,27,65,76,535
17,8,14,10,4,3,5268
130,0,16,0,0,5,273
292,6,37,0,3,34,4452
350,60,568,110,133,145,8504
135,9,39,4,0,7,771
230,42,192,49,37,53,8996
7,0,8,2,0,1,9235
445,37,359,98,28,18,5798
15,2,10,0,1,4,11178
27,2,14,0,0,0,2230
5,3,11,12,5,9,7516
505,0,26,0,0,75,7247
51,2,7,0,1,2,11100
207,26,447,75,0,223,4646
135,46,92,65,61,11,3037
53,1,5,2,1,10,1473
41,1,6,2,0,5,1016
386,172,183,185,132,111,4518
562,81,276,80,40,81,9370
217,76,690,50,26,38,8908
1,3,6,10,0,9,8373
144,1,32,2,1,7,7533
295,106,271,75,98,65,2683
76,3,31,4,4,27,3629
454,194,106,31,22,43,10991
425,115,292,23,35,79,5077
1332,17,311,23,51,86,7431
527,0,21,0,0,60,3267
490,44,125,29,20,22,999
378,0,101,0,0,72,9215
64,1,21,0,1,27,2286
547,99,812,151,82,33,1592
47,90,94,123,103,120,367
12,5,25,0,9,30,5234
1,6,7,11,5,3,9862
320,48,133,39,72,48,9805
34,3,29,0,4,10,6205
9,0,7,3,4,7,8442
17,0,14,7,3,2,7386
722,27,102,44,72,168,7215
162,33,124,40,28,172,1491
450,133,951,173,0,216,11071
70,0,16,0,0,4,3381
352,0,27,10,0,15,8268
492,19,110,16,12,12,11051
120,58,73,65,89,58,8026
534,5,47,0,5,41,433
236,106,189,23,41,130,9597
231,65,196,38,71,124,1295
220,0,33,3,0,23,5290
796,14,590,38,44,0,1685
0,1,3,10,6,9,5342
53,1,34,2,0,16,9579
15,0,8,4,2,20,7660
17,1,12,3,1,4,1461
962,61,921,52,61,20,821
738,0,232,13,20,50,11084
399,28,756,36,40,126,8690
614,16,132,43,33,33,2937
32,34,41,73,16,116,9701
598,16,141,32,41,49,9949
2,1,18,20,11,16,10837
6,1,10,0,1,4,3120
73,3,90,12,1,32,5885
42,16,29,12,20,8,4050
295,21,78,39,13,13,3830
346,17,48,23,13,13,7987
233,20,57,8,20,91,7798
5,7,24,19,14,20,92
888,0,57,0,0,76,7055
997,26,269,34,13,42,10240
212,6,69,4,12,3,3025
8,1,7,2,0,0,9283
42,11,57,10,28,14,9970
536,11,387,149,91,57,2730
5,0,3,0,0,5,2795
1349,16,249,43,16,33,9260
53,3,49,7,4,5,8182
1001,12,240,16,12,12,10095
20,2,1582,1,2,1,8475
18,1,32,6,3,28,4370
125,16,98,134,21,27,10573
212,5,33,7,0,2,3712
277,162,305,173,76,124,6637
15,10,19,8,17,20,3152
7,3,10,8,1,7,5610
12,4,6,11,8,16,6460
85,7,24,2,3,27,1349
81,0,6,0,0,6,1880
59,0,12,0,0,48,641
1149,71,449,69,71,26,8717
847,66,119,86,89,111,10314
29,0,14,0,0,2,10854
2,0,5,2,0,1,10492
207,26,447,75,0,223,6935
152,3,22,2,5,7,7698
12,11,10,3,12,9,3559
620,26,195,34,17,141,10562
47,1,6,0,0,12,10796
1,9,7,2,14,10,2563
10,1,18,10,4,7,3518
35,0,2,0,0,2,5823
356,0,107,19,9,117,3934
783,30,537,140,76,15,6982
42,1,18,3,0,4,6431
1,4,10,29,0,36,9733
466,22,432,147,113,102,5602
15,6,8,7,4,25,7829
23,3,21,3,19,22,1324
235,6,45,8,9,12,326
10,0,10,3,1,7,7224
656,16,106,32,16,8,6999
519,17,813,27,173,51,9938
344,189,482,50,33,172,6422
96,1,79,7,1,79,3182
448,4,34,6,4,39,7300
265,138,553,224,23,92,10424
587,43,337,42,87,54,8727
763,29,138,76,176,58,2798
22,0,13,0,0,3,1030
6,4,1,7,2,15,624
7,6,13,7,6,14,5176
81,18,113,47,13,21,5552
54,0,7,0,0,4,868
1170,48,320,42,32,192,380
72,24,68,65,4,8,2677
613,22,319,33,102,12,6521
224,0,30,0,0,10,6927
410,0,59,19,9,44,2877
239,10,554,254,87,54,0
171,7,171,25,19,89,1584
12,0,4,0,0,1,7264
1076,16,417,42,48,16,6274
182,4,33,0,0,66,1377
824,32,162,42,32,43,454
30,11,25,29,1,18,1755
377,10,540,80,30,10,2075
520,7,154,19,0,14,4785
155,1,25,0,1,3,9076
897,23,207,15,11,92,7079
131,0,16,2,1,39,4653
297,7,79,0,11,182,7375
787,20,204,0,0,92,709
792,86,740,67,51,17,460
4,1,9,3,0,0,3726
231,7,137,4,15,39,6798
983,76,184,180,138,27,5341
3,1,8,4,3,3,1606
0,4,5,6,0,4,9617
562,21,464,28,10,32,3233
5,9,20,6,8,21,89
18,0,4,0,0,1,2936
415,5,124,15,35,11,9449
5,3,10,12,7,20,7297
8,0,5,7,0,2,11004
901,61,757,186,163,20,313
382,114,276,75,124,38,9940
14,1,7,2,1,1,10735
559,153,503,218,13,181,9529
789,0,133,0,28,152,6439
11,0,5,0,0,1,7411
1218,16,272,104,0,80,2176
925,64,179,133,12,77,9265
864,134,768,150,38,172,8867
960,28,183,220,70,70,8932
16,3,25,6,1,13,10236
3,3,7,0,2,11,6340
168,148,444,32,172,148,10089
45,47,52,21,20,25,2227
650,28,353,45,42,30,10992
24,0,8,0,0,1,5304
918,21,118,13,10,21,309
138,33,87,28,24,12,3406
12,4,2,10,6,10,2661
11,0,4,0,0,2,3153
1,2,8,4,3,13,10264
554,41,215,11,0,24,1184
167,2,62,24,13,7,4200
9,0,6,4,1,5,9396
177,2,71,3,2,20,2387
38,4,22,4,2,20,6690
483,84,398,205,84,241,1225
77,2,35,0,1,69,9703
182,74,298,162,149,116,291
10,7,19,8,2,21,4557
778,44,499,95,73,146,2379
16,7,23,0,8,6,5726
167,0,43,6,2,13,3066
13,2,14,8,7,4,6336
33,6,40,3,7,10,10967
625,7,99,10,22,7,2304
216,162,224,101,92,162,3445
68,129,396,188,22,15,7828
196,0,512,33,130,54,3762
635,15,100,20,7,131,4391
4,19,9,28,25,17,4669
297,7,79,0,11,182,10144
84,5,38,150,12,28,8652
204,7,149,20,15,66,1672
26,0,8,0,0,3,8962
15,6,20,4,5,20,9974
304,98,230,150,74,74,10983
285,28,242,55,114,135,8148
395,183,565,166,141,28,10102
248,3,81,4,3,51,4697
20,6,5,0,9,12,9262
39,0,56,20,8,14,7254
777,129,573,216,21,203,4543
8,3,22,21,1,13,4927
9,1,3,0,4,8,10451
1241,0,80,0,13,40,2926
6,4,7,4,3,8,2874
65,4,16,0,4,11,9738
395,15,263,60,54,38,7119
801,0,80,0,0,35,3924
36,0,12,2,2,10,5827
513,14,154,19,0,28,5596
37,0,46,4,3,0,10812
80,15,93,20,13,52,1717
14,1,21,2,3,25,9491
525,147,112,219,147,63,9274
1,26,25,17,23,15,6609
675,11,400,15,45,11,6963
509,0,27,0,0,10,4440
154,2,46,20,4,15,1379
3,5,14,2,12,17,10032
25,0,8,2,0,2,2826
861,138,461,60,30,61,2437
768,44,561,77,44,14,6320
185,0,28,3,2,17,3050
24,0,7,0,0,1,231
44,4,21,6,0,27,2392
91,64,128,65,3,50,9478
11,0,7,3,1,6,113
738,20,172,52,50,20,2863
412,5,119,38,29,77,1802
3,3,7,6,2,9,520
16,0,3,0,0,1,8275
731,60,353,78,12,73,9750
424,17,118,7,23,41,2607
792,0,275,45,45,126,7214
21,2,28,3,2,9,5835
22,1,11,0,1,2,3896
33,0,5,0,0,0,10350
68,7,59,10,5,11,7786
9,1,6,3,0,4,2861
40,2,15,8,0,6,663
909,11,218,0,0,23,10675
23,1,13,2,2,18,2521
11,2,9,3,0,8,9592
317,46,247,151,46,139,10151
797,153,293,72,97,30,7381
10,2,16,11,2,21,4099
856,61,570,40,25,122,9560
755,144,562,104,64,224,1150
456,19,832,75,118,38,10172
37,32,38,11,3,18,11191
1103,0,45,0,0,34,9707
378,14,68,19,14,14,6245
1,6,7,0,1,3,8234
204,34,204,172,153,173,1411
30,0,9,0,0,3,8553
189,104,379,111,189,218,1826
15,0,12,7,3,7,8842
9,0,3,0,0,4,11030
495,33,255,11,33,8,2579
656,80,455,52,107,93,175
452,20,514,13,30,0,9185
546,91,410,119,0,22,11056
1048,0,217,0,0,12,9365
22,2,14,0,1,10,6201
78,0,11,0,0,10,2061
561,64,785,84,128,48,6184
629,17,177,69,0,8,6142
269,15,69,15,19,38,4107
736,163,818,212,163,61,7274
512,0,83,0,0,41,9336
19,3,10,11,8,6,2958
9,0,6,4,1,5,933
247,8,160,6,8,65,5837
404,0,92,28,27,142,10704
333,0,815,129,42,29,5125
2,3,20,6,11,9,4432
833,33,549,151,133,233,5955
789,0,142,12,9,38,2928
10,4,7,0,6,3,5680
159,4,45,6,2,38,10313
7,1,6,3,1,11,2557
977,12,253,16,12,101,1245
38,4,22,3,3,3,1519
57,0,27,0,0,36,10703
3,9,15,13,2,39,1726
10,4,14,4,4,1,4459
1043,24,97,32,24,157,1729
3,9,13,2,12,12,1517
11,0,5,0,0,1,2098
3,6,5,0,2,6,9543
43,12,96,78,40,55,6878
73,3,90,12,1,32,3310
12,0,1,0,0,6,2724
4,7,7,6,4,13,948
314,11,53,4,3,107,6720
571,50,142,33,50,159,6202
70,0,11,2,8,23,2066
866,21,151,28,21,86,9799
594,134,786,33,134,57,8318
140,4,61,0,13,4,5642
375,152,335,93,91,81,2669
102,9,63,2,9,24,455
554,35,113,0,7,78,7683
919,0,505,99,30,45,3428
96,1,42,12,3,32,7414
5,2,16,3,2,19,6354
2,0,6,8,6,5,798
6,4,9,6,36,35,8213
23,1,25,0,8,7,2488
610,105,125,137,42,21,9999
67,5,61,3,8,19,7617
65,36,74,38,20,110,615
416,0,26,0,0,4,2552
23,0,11,3,2,2,194
19,3,26,10,9,3,3645
155,7,80,13,7,10,8890
14,0,24,3,3,2,5049
370,9,92,6,9,4,9973
4,22,11,3,7,32,7301
407,53,221,58,150,26,10882
1200,0,204,38,29,14,7030
85,44,54,102,78,6,7422
583,34,309,0,22,125,3523
483,0,591,156,0,12,7106
2,5,9,28,6,28,6504
966,26,282,52,26,26,5067
822,114,108,179,137,114,4216
604,0,100,19,0,28,8581
19,3,19,3,1,3,5929
5,3,11,12,5,9,3129
2,2,2,2,1,1,6528
1076,68,103,29,91,68,1361
1285,42,716,55,0,21,6932
10,0,7,2,0,1,7284
551,137,792,179,103,33,1340
800,0,297,0,34,57,8746
2,2,11,10,6,12,5987
378,0,189,97,172,172,3767
1248,16,349,43,16,16,3725
235,0,235,19,4,191,4324
515,47,181,149,95,95,238
438,66,400,12,38,114,6694
25,0,22,2,3,5,498
31,0,7,2,0,6,9347
357,35,271,28,28,14,9699
400,4,35,6,0,22,10664
99,0,15,2,1,5,5455
1,11,5,4,6,9,456
5,4,13,8,0,4,5012
77,28,31,16,0,4,7495
3,1,2,4,3,1,5029
10,4,14,4,4,1,10642
0,6,3,7,6,12,2106
0,0,1,2,12,5,10364
76,14,74,13,5,10,5954
398,190,537,61,156,37,1137
14,7,11,11,0,5,2541
208,7,82,30,66,35,1142
430,16,322,43,24,33,2276
656,38,161,62,47,37,2807
14,2,30,8,2,3,6471
141,70,106,72,19,23,6131
507,19,364,25,47,9,6233
164,24,103,12,3,42,4148
606,24,974,197,194,64,4947
116,11,72,3,17,46,3225
143,15,60,24,23,5,7540
398,96,447,220,96,32,10648
522,0,257,32,16,66,1992
161,0,253,199,191,122,7851
112,0,6,2,1,14,8594
483,84,398,205,84,241,7059
7,5,39,17,15,37,2815
789,25,420,16,38,0,2416
1239,17,413,23,34,17,7999
4,1,5,2,0,3,9213
335,42,127,28,5,5,9697
639,8,166,11,8,58,3916
563,76,384,84,192,89,2021
2,0,8,2,2,3,1581
746,8,125,11,8,8,564
22,1,13,4,0,4,6619
4,1,6,4,1,9,9081
478,0,193,110,75,117,178
20,3,4,2,0,2,916
451,0,39,0,4,24,5512
371,22,39,6,0,92,8970
281,7,84,15,0,119,10581
19,7,19,0,1,24,5300
26,3,13,2,10,0,5154
138,15,35,25,11,72,8346
213,2,44,0,2,5,1676
407,28,100,120,74,18,9286
483,74,114,169,37,18,2426
738,0,232,13,20,50,5172
502,12,109,16,6,90,5562
11,0,5,2,1,1,3436
24,1,108,29,29,14,3921
1170,19,594,99,76,134,3403
185,2,88,15,5,14,22
983,20,389,240,50,40,10965
691,0,69,10,0,130,9426
504,13,131,8,0,26,6605
317,25,265,25,19,12,3136
29,1,9,2,0,2,8737
1396,0,322,46,35,17,11088
529,0,356,63,28,0,716
388,14,218,91,14,21,466
13,2,21,4,0,24,9135
28,0,4,0,0,0,10623
16,36,21,20,62,108,8151
1047,0,140,67,38,153,5140
31,0,7,2,0,6,10160
815,10,239,28,10,108,4945
225,162,387,106,36,29,10584
493,70,324,146,40,84,6071
34,4,66,3,10,20,3386
382,138,65,60,26,59,8939
127,1,56,0,1,31,9925
325,83,300,86,58,91,4320
238,17,68,8,10,6,5389
1168,92,408,72,129,55,6036
284,0,55,0,6,52,182
1288,20,613,80,61,27,203
65,0,46,4,3,20,11025
11,7,9,3,1,11,10203
227,23,389,42,21,75,4607
1035,134,670,25,38,0,3711
27,1,12,2,0,10,3696
982,73,351,56,14,175,2532
179,2,64,38,17,58,9214
1379,33,216,0,33,66,4943
32,1,64,16,12,85,35
8,4,15,7,6,2,2258
881,38,319,16,25,12,4322
141,15,153,67,31,35,713
1000,155,379,224,17,120,4702
206,10,67,30,27,71,3281
162,61,83,97,57,61,702
619,54,260,127,54,54,2004
456,4,24,0,0,9,4769
112,6,92,3,9,38,4437
11,3,22,2,2,6,8724
172,12,112,8,0,15,10741
78,0,11,0,0,7,1991
464,151,292,65,60,30,6931
99,4,32,37,54,6,11096
19,3,19,4,5,26,304
1,9,8,11,3,22,3665
63,10,83,7,19,19,10591
252,3,42,4,3,102,5036
1478,19,403,0,19,0,5547
198,18,252,32,108,54,7822
8,4,10,6,7,6,8541
416,46,925,60,107,46,10955
42,7,43,20,12,10,4368
14,3,21,2,1,28,9671
17,0,3,0,0,1,2256
15,4,10,3,4,18,4279
6,16,24,11,0,34,5371
458,0,24,6,4,34,9240
30,3,47,19,21,42,9460
179,28,520,111,123,47,9504
90,17,97,15,6,15,8692
308,85,137,102,45,118,448
557,129,761,29,185,111,8314
7,4,13,15,8,17,8420
1492,38,287,50,57,33,3174
30,8,12,8,8,12,7685
249,153,940,58,134,38,3179
465,25,132,136,0,37,9780
129,129,259,168,121,83,10681
174,18,81,28,6,24,10232
189,2,29,3,2,40,4184
747,10,161,65,40,42,9120
6,0,2,2,0,1,891
14,0,3,0,0,4,10381
12,0,4,0,0,1,3525
98,0,106,49,10,106,6818
32,0,5,0,0,1,3526
51,12,49,17,24,24,8181
200,5,44,0,10,20,1029
25,6,25,6,0,0,7369
1050,12,144,0,0,24,2574
117,0,22,13,0,30,8159
9,4,17,10,2,7,1160
56,0,11,0,0,8,10242
145,13,46,17,2,4,5253
203,0,10,0,0,2,5966
270,3,27,39,6,99,5314
9,0,16,6,6,10,5081
37,12,23,8,11,52,5123
46,0,7,0,0,2,5756
31,1,13,7,2,9,8036
1060,21,530,32,0,224,9058
264,47,188,54,47,11,5057
399,4,30,6,4,30,254
8,9,9,2,5,22,4179
19,0,35,6,4,17,3710
817,183,797,106,163,20,7627
292,127,635,132,127,165,4501
12,6,2,11,2,16,6424
130,30,168,20,34,0,3075
6,4,16,3,10,30,4992
16,12,18,7,1,13,5252
19,0,9,0,0,2,7444
4,7,15,13,9,15,6919
31,3,31,2,8,4,3537
36,0,2,0,0,4,10277
526,28,135,10,21,99,2453
400,32,519,71,75,54,7972
410,16,114,0,5,49,895
80,3,26,4,2,14,1177
88,10,46,2,3,64,7141
55,0,6,2,0,4,7232
5,1,13,3,5,1,8477
8,4,5,15,2,11,2457
410,0,592,147,22,22,988
101,13,76,20,18,40,7930
162,25,53,16,0,10,4587
2,8,1,4,7,15,6682
25,0,8,2,0,2,6222
389,91,248,64,49,41,10299
215,13,87,17,17,24,3083
27,0,5,0,0,3,8953
85,1,16,2,1,2,1503
5,6,10,6,5,10,8650
179,8,83,19,11,26,10862
352,0,27,10,0,15,2782
17,8,12,11,15,32,6941
625,35,169,58,17,35,10972
10,6,11,0,4,2,10708
390,22,323,104,35,107,6583
10,2,15,2,1,6,3641
215,63,507,231,31,190,10156
1001,17,572,93,125,17,4299
19,18,33,24,1,8,3469
41,5,129,10,3,3,5063
1181,107,199,39,30,30,10727
603,45,207,36,18,54,9624
129,129,259,168,121,83,5156
10,24,15,13,1,30,4376
514,22,732,42,198,79,8923
14,0,1,0,0,1,8461
387,20,713,38,54,163,6945
121,103,69,8,44,48,944
965,69,279,54,41,69,1907
707,21,250,85,43,73,701
571,50,142,33,50,159,3856
586,66,653,17,0,26,4149
1063,89,102,16,12,25,2131
305,3,27,4,3,144,2942
1200,105,758,0,42,147,1173
163,2,40,8,11,11,4381
1009,181,104,202,21,207,4611
125,6,73,8,4,19,3376
721,0,152,119,50,50,4679
315,4,62,41,31,146,10928
1000,19,711,125,115,38,4248
16,0,17,6,3,6,6728
757,80,217,29,80,11,6661
30,2,25,0,1,9,4725
219,3,100,26,0,17,3277
1,1,1,1,1,1,5555
111,3,28,2,6,15,2564
45,47,52,21,20,25,946
410,112,420,0,82,71,3867
100,1,39,6,1,76,6940
509,0,65,7,11,5,55
3,6,5,0,2,6,7093
445,53,213,104,98,151,5084
2,2,11,41,7,11,1777
4,1,11,6,2,2,8162
6,1,7,23,4,19,10826
14,0,3,0,0,3,8754
1,10,11,19,3,15,1987
26,0,6,0,0,2,11007
111,16,37,7,9,18,7426
418,61,428,80,51,10,9153
327,9,122,19,14,83,10379
371,159,194,58,106,141,9204
275,59,107,69,101,59,3197
789,0,142,12,9,38,2920
1,1,5,0,3,1,6961
1004,12,145,32,12,36,4673
187,81,149,25,43,91,9937
56,4,76,17,1,18,8779
365,32,117,34,110,6,9596
595,23,123,10,23,154,2891
1132,134,384,175,134,115,4910
34,11,137,179,61,45,75
116,6,82,6,6,41,10120
565,32,435,28,32,54,6327
372,18,126,47,48,78,10142
899,102,838,133,102,40,9826
55,16,1622,17,3,4,1501
760,40,480,0,40,26,10767
260,86,559,63,9,67,7279
459,0,24,6,0,4,7230
466,0,224,119,49,99,143
67,15,80,17,11,80,450
2,0,7,3,7,10,9316
67,1,20,0,2,31,6379
92,4,18,3,3,6,9239
4,2,11,2,0,4,8315
20,1,28,3,3,2,2868
273,11,178,62,83,29,10888
434,22,388,104,22,34,1277
321,11,309,33,26,34,9977
212,123,177,15,64,23,10196
909,12,278,0,12,242,6384
1184,32,352,21,16,16,8029
112,19,21,16,14,5,968
656,80,455,52,107,93,6988
23,0,8,6,2,18,4472
537,6,42,16,6,30,6991
712,0,45,0,0,191,3336
23,1,13,2,2,18,4301
1,3,4,2,2,6,1940
664,58,83,32,0,66,1272
6,10,21,19,14,42,1388
299,5,201,21,21,49,1044
99,13,66,43,8,4,6969
749,40,294,121,160,147,10479
345,25,501,63,138,80,3619
9,4,18,7,5,5,1715
440,81,368,0,122,174,10159
8,2,5,3,0,3,1463
670,9,249,0,28,9,5114
524,0,134,28,28,155,4990
6,0,6,2,1,1,4329
597,166,597,172,166,249,10936
7,0,12,13,7,32,4692
54,0,7,0,0,4,7212
445,25,706,80,76,48,6086
294,142,218,164,58,151,437
292,3,77,10,3,26,11171
412,22,132,59,28,183,11101
8,0,3,0,0,0,5329
349,4,78,6,0,43,610
328,9,124,12,24,109,9384
144,2,99,7,2,30,5956
1126,28,211,37,28,42,10430
967,0,617,43,50,0,7875
432,79,341,177,136,170,7072
138,39,63,55,18,21,6255
0,0,1,7,4,6,6516
509,133,497,78,24,97,5564
948,10,86,13,21,21,5682
39,2,25,4,3,24,7458
28,1,21,3,0,10,5237
13,11,24,13,8,40,7761
307,26,360,138,31,40,5278
901,31,345,75,31,191,3560
2,5,12,4,8,7,7235
